Years,Sales
1/1/2001,139.7
2/1/2001,114.3
3/1/2001,101.6
4/1/2001,152.4
5/1/2001,215.9
6/1/2001,228.6
7/1/2001,215.9
8/1/2001,190.5
9/1/2001,177.8
10/1/2001,139.7
11/1/2001,139.7
12/1/2001,152.4
1/1/2002,165.1
2/1/2002,177.8
3/1/2002,177.8
4/1/2002,203.2
5/1/2002,241.3
6/1/2002,279.1
7/1/2002,292.1
8/1/2002,317.5
9/1/2002,203.2
10/1/2002,177.8
11/1/2002,165.1
12/1/2002,177.8
1/1/2003,177.8
2/1/2003,203.2
3/1/2003,228.6
4/1/2003,279.4
5/1/2003,317.5
6/1/2003,330.2
7/1/2003,368.3
8/1/2003,355.6
9/1/2003,241.3
10/1/2003,215.9
11/1/2003,215.9
12/1/2003,203.2
1/1/2004,228.6
2/1/2004,254
3/1/2004,226.7
4/1/2004,342.9
5/1/2004,355.6
6/1/2004,406.4
7/1/2004,444.5
8/1/2004,431.8
9/1/2004,330.2
10/1/2004,330.2
11/1/2004,304.8
12/1/2004,292.1
1/1/2005,266.7
2/1/2005,317.5
3/1/2005,368.3
4/1/2005,431.8
5/1/2005,457.2
6/1/2005,571.5
7/1/2005,546.1
8/1/2005,482.6
9/1/2005,431.8
10/1/2005,406.4
11/1/2005,393.7
12/1/2005,406.4
1/1/2006,431.8
2/1/2006,457.2
3/1/2006,457.2
4/1/2006,482.6
5/1/2006,533.4
6/1/2006,622.3
7/1/2006,660.4
8/1/2006,520.7
9/1/2006,508
10/1/2006,482.6
11/1/2006,457.2
12/1/2006,431.8
1/1/2007,381
2/1/2007,406.4
3/1/2007,431.8
4/1/2007,457.2
5/1/2007,495.3
6/1/2007,584.2
7/1/2007,609.6
8/1/2007,558.8
9/1/2007,508
10/1/2007,495.3
11/1/2007,444.5
12/1/2007,419.1
1/1/2008,431.8
2/1/2008,444.5
3/1/2008,495.3
4/1/2008,533.4
5/1/2008,558.8
6/1/2008,647.7
7/1/2008,673.1
8/1/2008,660.4
9/1/2008,609.6
10/1/2008,584.2
11/1/2008,520.7
12/1/2008,482.6
1/1/2009,495.3
2/1/2009,533.4
3/1/2009,635
4/1/2009,673.1
5/1/2009,749.3
6/1/2009,812.8
7/1/2009,800.1
8/1/2009,736.6
9/1/2009,685.5
10/1/2009,635
11/1/2009,622.3
12/1/2009,622.3